Company,Region ID,Tag ID,Grade ID,Variety ID,Commodity ID,First Receive Date,Warehouse Location,Room/Row ID,Commodity ID.1,Size ID,Grade ID.1,Style ID,Method ID,On Hand Quantity
"KINGS RIVER PACKING, LP",USA,8618784,FANCY,CLEMENTINE,MANDARIN,2024-12-19,COBBLESTONE,P-A12,MANDARIN,15,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8618785,FANCY,CLEMENTINE,MANDARIN,2024-12-19,COBBLESTONE,P-A12,MANDARIN,15,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8618786,FANCY,CLEMENTINE,MANDARIN,2024-12-19,COBBLESTONE,P-A12,MANDARIN,15,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8618817,FANCY,CLEMENTINE,MANDARIN,2024-12-19,COBBLESTONE,P-A18,MANDARIN,24,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8618818,FANCY,CLEMENTINE,MANDARIN,2024-12-19,COBBLESTONE,P-A18,MANDARIN,24,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8618819,FANCY,CLEMENTINE,MANDARIN,2024-12-19,COBBLESTONE,P-A18,MANDARIN,24,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8618820,FANCY,CLEMENTINE,MANDARIN,2024-12-19,COBBLESTONE,P-A18,MANDARIN,24,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8618840,FANCY,CLEMENTINE,MANDARIN,2024-12-19,COBBLESTONE,P-A48,MANDARIN,36,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8618846,FANCY,CLEMENTINE,MANDARIN,2024-12-19,COBBLESTONE,P-A17,MANDARIN,21,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8618847,FANCY,CLEMENTINE,MANDARIN,2024-12-19,COBBLESTONE,P-A17,MANDARIN,21,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8618848,FANCY,CLEMENTINE,MANDARIN,2024-12-19,COBBLESTONE,P-A17,MANDARIN,21,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8618900,FANCY,CLEMENTINE,MANDARIN,2024-12-19,COBBLESTONE,P-A48,MANDARIN,36,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8618917,FANCY,CLEMENTINE,MANDARIN,2024-12-19,COBBLESTONE,P-A18,MANDARIN,24,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8618918,FANCY,CLEMENTINE,MANDARIN,2024-12-19,COBBLESTONE,P-A18,MANDARIN,24,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8618919,FANCY,CLEMENTINE,MANDARIN,2024-12-19,COBBLESTONE,P-A18,MANDARIN,24,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8618920,FANCY,CLEMENTINE,MANDARIN,2024-12-19,COBBLESTONE,P-A18,MANDARIN,24,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8618937,FANCY,CLEMENTINE,MANDARIN,2024-12-19,COBBLESTONE,P-A17,MANDARIN,21,FANCY,BIN,BIN,1.0
