DateTime,TargetWeight(oz)-B1,Weight/Product(oz)-B1,Products/min-B1,TargetWeight(oz)-B2,Weight/Product(oz)-B2,Products/min-B2,TargetWeight(oz)-B3,Weight/Product(oz)-B3,Products/min-B3,TargetWeight(oz)-A3,Weight/Product(oz)-A3,Products/min-A3,TargetWeight(oz)-B4,Weight/Product(oz)-B4,Products/min-B4,TargetWeight(oz)-A1,Weight/Product(oz)-A1,Products/min-A1,TargetWeight(oz)-A4,Weight/Product(oz)-A4,Products/min-A4,TargetWeight(oz)-A2,Weight/Product(oz)-A2,Products/min-A2
06:00.0,0,0,0,0,0,0,34.9741,49.3835,17,0,0,0,0,0,0,85.5981,80.7774,51,37.8548,81.1301,1,0,0,0
12:00.0,0,0,0,0,0,0,44.2159,49.3835,26,0,0,0,0,0,0,28.031,80.7774,12,40.1653,81.1301,20,0,0,0
18:00.0,0,0,0,0,0,0,51.3413,49.3835,42,0,0,0,0,0,0,70.542,80.7774,38,13.8098,81.1301,6,0,0,0
24:00.0,0,0,0,0,0,0,42.2641,49.3835,18,0,0,0,0,0,0,69.9777,80.7774,41,42.4405,81.1301,3,0,0,0
30:00.0,0,0,0,0,0,0,51.2237,49.3835,35,0,0,0,0,0,0,0,0,0,57.2085,81.1301,25,8.2894,49.7363,1
36:00.0,0,0,0,0,0,0,43.2753,49.3835,33,0,0,0,0,0,0,0,0,0,84.1166,81.1301,46,0,0,0
42:00.0,0,0,0,0,0,0,52.7463,49.3835,45,0,0,0,0,0,0,0,0,0,55.6799,81.1301,31,26.9434,49.7363,23
48:00.0,0,0,0,0,0,0,52.9697,49.3835,37,0,0,0,0,0,0,0,0,0,0,0,0,55.1273,49.7363,56
54:00.0,0,0,0,0,0,0,42.946,49.3835,26,0,0,0,0,0,0,41.9231,80.7774,19,0,0,0,51.8351,49.7363,48
00:00.0,0,0,0,0,0,0,51.6822,49.3835,44,0,0,0,0,0,0,57.5377,80.7774,16,42.27,81.1301,14,54.8863,49.7363,53
06:00.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.9377,49.7363,19
